address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
10.18.159.70,bc:24:11:10:c2:e0,ff:63:4a:fc:49:00:02:00:00:ab:11:ca:0b:3a:e7:92:cc:3a:6f,600,1729898153,1,0,0,sv-radius-01,0,,0
10.18.159.70,bc:24:11:10:c2:e0,ff:63:4a:fc:49:00:02:00:00:ab:11:ca:0b:3a:e7:92:cc:3a:6f,600,1729898153,1,0,0,,2,,0
10.18.159.76,bc:24:11:30:34:15,ff:3c:ba:d4:ba:00:02:00:00:ab:11:1d:4e:b6:67:b5:ab:bd:e1,600,1729901051,1,0,0,pc-lab-03,0,,0
10.18.159.70,bc:24:11:10:c2:e0,ff:63:4a:fc:49:00:02:00:00:ab:11:ca:0b:3a:e7:92:cc:3a:6f,600,1729901059,1,0,0,sv-radius-01,0,,0
10.18.159.76,bc:24:11:30:34:15,ff:3c:ba:d4:ba:00:02:00:00:ab:11:1d:4e:b6:67:b5:ab:bd:e1,600,1729901051,1,0,0,,2,,0
10.18.159.70,bc:24:11:10:c2:e0,ff:63:4a:fc:49:00:02:00:00:ab:11:ca:0b:3a:e7:92:cc:3a:6f,600,1729901059,1,0,0,,2,,0
10.18.159.76,bc:24:11:30:34:15,ff:3c:ba:d4:ba:00:02:00:00:ab:11:1d:4e:b6:67:b5:ab:bd:e1,0,1729900451,1,0,0,,2,,0
10.18.159.70,bc:24:11:10:c2:e0,ff:63:4a:fc:49:00:02:00:00:ab:11:ca:0b:3a:e7:92:cc:3a:6f,0,1729900459,1,0,0,,2,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730143076,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730143376,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730143676,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730143976,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730143976,1,0,0,,2,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,0,1730143376,1,0,0,,2,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730400597,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730400896,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730401197,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730401497,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730401796,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730402096,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730402396,1,0,0,desktop-1p1e4sk.,0,,0
10.18.159.76,08:00:27:aa:9d:81,01:08:00:27:aa:9d:81,600,1730402697,1,0,0,desktop-1p1e4sk.,0,,0
